Class,precision,recall,f1-score,support,Model
0,0.9988,0.7189,0.836,1188.0,LogisticRegression
1,0.1544,0.9839,0.267,62.0,LogisticRegression
accuracy,0.732,0.732,0.732,0.732,LogisticRegression
macro avg,0.5766,0.8514,0.5515,1250.0,LogisticRegression
weighted avg,0.9569,0.732,0.8078,1250.0,LogisticRegression
0,0.9503,0.9983,0.9737,1188.0,RandomForest
1,0.0,0.0,0.0,62.0,RandomForest
accuracy,0.9488,0.9488,0.9488,0.9488,RandomForest
macro avg,0.4752,0.4992,0.4869,1250.0,RandomForest
weighted avg,0.9032,0.9488,0.9254,1250.0,RandomForest
0,0.9516,0.9933,0.972,1188.0,GradientBoosting
1,0.2,0.0323,0.0556,62.0,GradientBoosting
accuracy,0.9456,0.9456,0.9456,0.9456,GradientBoosting
macro avg,0.5758,0.5128,0.5138,1250.0,GradientBoosting
weighted avg,0.9143,0.9456,0.9265,1250.0,GradientBoosting
0,0.9863,0.7854,0.8744,1188.0,SVM
1,0.1612,0.7903,0.2678,62.0,SVM
accuracy,0.7856,0.7856,0.7856,0.7856,SVM
macro avg,0.5737,0.7878,0.5711,1250.0,SVM
weighted avg,0.9453,0.7856,0.8443,1250.0,SVM
